uuid,acq,batch_size,date,dim_basis,dim_h1,dim_h2,embedding,epochs,group,immediate_regret,incumbent,lr,model,n_init,n_iter,name,nn_aggregator,num_mcmc,num_nn,num_steps,obj_func,seed,weight_decay
b3dff9ef,UCB,1000.0,2018-08-22 05:21:16.193127,50.0,50.0,50.0,,1000.0,funcs,[1.48198354],[-4.48198354],0.01,dngo,20.0,200.0,b3dff9ef--g-funcs-s-1-m-dngo-mcmc-20-init-20-k-200-f-goldsteinprice,median,20.0,1.0,200.0,goldsteinprice,1.0,0.0
b44bfc5d,UCB,1000.0,2018-08-21 18:23:49.179959,50.0,50.0,50.0,,1000.0,funcs,[0.17202208],[-3.17202208],0.01,dngo,20.0,200.0,b44bfc5d--g-funcs-s-1-m-dngo-nn-10-agg-median-init-20-k-200-f-goldsteinprice,median,0.0,10.0,200.0,goldsteinprice,1.0,0.0
b56e0991,UCB,1000.0,2018-08-21 14:33:52.074271,50.0,50.0,50.0,,1000.0,funcs,[8.05876895e-06],[1.03162036],0.01,dngo,20.0,200.0,b56e0991--g-funcs-s-1-m-dngo-init-20-k-200-f-camelback,median,0.0,1.0,200.0,camelback,1.0,0.0
b63e35a1,UCB,1000.0,2018-08-22 01:06:14.752104,50.0,50.0,50.0,,1000.0,funcs,[2.67400306],[-2.67400306],0.01,dngo,20.0,200.0,b63e35a1--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-bohachevsky,median,0.0,5.0,200.0,bohachevsky,1.0,0.0
b751ad4b,UCB,1000.0,2018-08-21 13:45:42.651385,50.0,50.0,50.0,,1000.0,funcs,[0.209683],[3.11268501],0.01,gp,20.0,200.0,b751ad4b--g-funcs-s-1-m-gp-init-20-k-200-f-hartmann6,median,0.0,1.0,200.0,hartmann6,1.0,0.0
b8e33b3f,UCB,1000.0,2018-08-21 19:29:24.104497,50.0,50.0,50.0,,1000.0,funcs,[0.26349775],[-3.26349775],0.01,dngo,20.0,200.0,b8e33b3f--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-goldsteinprice,median,0.0,5.0,200.0,goldsteinprice,1.0,0.0
b92f5078,UCB,1000.0,2018-08-21 16:54:39.113998,50.0,50.0,50.0,,1000.0,ensemble_size,[8.05868542e-06],[1.03162036],0.01,dngo,20.0,200.0,b92f5078--g-ensemble_size-s-1-m-dngo-init-20-k-200-f-camelback-nn-10-agg-median,median,0.0,10.0,200.0,camelback,1.0,0.0
bac25bc1,UCB,1000.0,2018-08-21 15:39:57.708197,50.0,50.0,50.0,,1000.0,funcs,[0.02176502],[-0.02176502],0.01,gp,20.0,200.0,bac25bc1--g-funcs-s-1-m-gp-init-20-k-200-f-rosenbrock,median,0.0,1.0,200.0,rosenbrock,1.0,0.0
baf8036e,UCB,1000.0,2018-08-21 10:46:42.577918,50.0,50.0,50.0,,1000.0,funcs,[3.94860567e-10],[-3.94860567e-10],0.01,gp,20.0,200.0,baf8036e--g-funcs-s-1-m-gp-init-20-k-200-f-levy,median,0.0,1.0,200.0,levy,1.0,0.0
bb244f85,UCB,1000.0,2018-08-21 10:45:41.871176,50.0,50.0,50.0,,1000.0,l2,[1.35259018],[-4.35259018],0.01,dngo,20.0,200.0,bb244f85--g-l2-s-1-m-dngo-init-20-k-200-l2-0.0-f-goldsteinprice,median,0.0,1.0,200.0,goldsteinprice,1.0,0.0
bb6ac425,UCB,1000.0,2018-08-21 18:26:18.965248,50.0,50.0,50.0,,1000.0,funcs,[0.00017783],[-0.00017783],0.01,dngo,20.0,200.0,bb6ac425--g-funcs-s-1-m-dngo-nn-10-agg-median-init-20-k-200-f-levy,median,0.0,10.0,200.0,levy,1.0,0.0
bd41a762,UCB,1000.0,2018-08-21 10:45:41.238329,50.0,50.0,50.0,[0.0],1000.0,embedding,[0.05075352],[-0.09367986],0.01,dngo,20.0,200.0,bd41a762--g-em-s-1-m-dngo-init-20-nn-5-agg-median-k-200-em-0-f-sinone,median,0.0,5.0,200.0,sinone,1.0,0.0
bdd0731f,UCB,1000.0,2018-08-21 13:09:30.023431,50.0,50.0,50.0,,1000.0,highdim,[1496.87561513],[-1496.87561513],0.01,gp,100.0,200.0,bdd0731f--g-highdim-s-1-m-gp-init-100-k-200-f-rosenbrock10D,median,0.0,1.0,200.0,rosenbrock10D,1.0,0.0
c0dd7fb5,UCB,1000.0,2018-08-21 21:33:09.914566,50.0,50.0,50.0,,1000.0,funcs,[5.5788707e-14],[-0.04292634],0.01,dngo,20.0,200.0,c0dd7fb5--g-funcs-s-1-m-dngo-nn-5-agg-max-init-20-k-200-f-sinone,max,0.0,5.0,200.0,sinone,1.0,0.0
c399cc06,UCB,1000.0,2018-08-21 23:08:07.461775,50.0,50.0,50.0,,1000.0,funcs,[0.71999137],[-3.71999137],0.01,dngo,20.0,200.0,c399cc06--g-funcs-s-1-m-dngo-mcmc-20-init-20-k-200-f-goldsteinprice,median,20.0,1.0,200.0,goldsteinprice,1.0,0.0
c3a529db,UCB,1000.0,2018-08-21 12:22:27.658716,50.0,50.0,50.0,,1000.0,funcs,[0.00021739],[3.86256215],0.01,dngo,20.0,200.0,c3a529db--g-funcs-s-1-m-dngo-mcmc-20-init-20-k-200-f-hartmann3,median,20.0,1.0,140.0,hartmann3,1.0,0.0
c5ec6295,UCB,1000.0,2018-08-21 17:22:09.907944,50.0,50.0,50.0,,1000.0,funcs,[0.00917108],[3.31319693],0.01,dngo,20.0,200.0,c5ec6295--g-funcs-s-1-m-dngo-nn-10-agg-median-init-20-k-200-f-hartmann6,median,0.0,10.0,120.0,hartmann6,1.0,0.0
c809cccf,UCB,1000.0,2018-08-21 10:45:41.360891,50.0,50.0,50.0,,1000.0,l2,[1.76744621],[-4.76744621],0.01,dngo,20.0,200.0,c809cccf--g-l2-s-1-m-dngo-init-20-k-200-l2-0.001-f-goldsteinprice,median,0.0,1.0,200.0,goldsteinprice,1.0,0.001
c925da41,UCB,1000.0,2018-08-21 11:28:11.186802,50.0,50.0,50.0,,1000.0,funcs,[1.43485405e-06],[-1.43485405e-06],0.01,dngo,20.0,200.0,c925da41--g-funcs-s-1-m-dngo-init-20-k-200-f-levy,median,0.0,1.0,200.0,levy,1.0,0.0
cbf893ba,UCB,1000.0,2018-08-22 04:50:46.817687,50.0,50.0,50.0,,1000.0,funcs,[0.00127632],[1.0303521],0.01,dngo,20.0,200.0,cbf893ba--g-funcs-s-1-m-dngo-mcmc-20-init-20-k-200-f-camelback,median,20.0,1.0,200.0,camelback,1.0,0.0
ce9ff794,UCB,1000.0,2018-08-21 19:16:54.407844,50.0,50.0,50.0,,1000.0,funcs,[5.56361144e-08],[6.02074006],0.01,dngo,20.0,200.0,ce9ff794--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-forrester,median,0.0,5.0,200.0,forrester,1.0,0.0
cf80d238,UCB,1000.0,2018-08-21 13:55:19.062231,50.0,50.0,50.0,,1000.0,funcs,[4.56231718e-07],[6.02073954],0.01,gp,20.0,200.0,cf80d238--g-funcs-s-1-m-gp-init-20-k-200-f-forrester,median,0.0,1.0,200.0,forrester,1.0,0.0
d1c728f2,UCB,1000.0,2018-08-21 18:43:20.935405,50.0,50.0,50.0,,1000.0,funcs,[0.00322299],[-0.40111035],0.01,dngo,20.0,200.0,d1c728f2--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-branin,median,0.0,5.0,200.0,branin,1.0,0.0
