uuid,acq,activations,batch_size,date,dim_basis,dim_h1,dim_h2,embedding,epochs,group,immediate_regret,incumbent,lr,model,n_init,n_iter,name,nn_aggregator,nn_fixed,num_mcmc,num_nn,num_steps,obj_func,seed,weight_decay
ca0b5e2e,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:42.153781,50,50,50,,1000,funcs,[4.57397957e-08],[-0.3978874],0.01,gp,30,200,ca0b5e2e--g-funcs-s-1-m-gp-init-30-k-200-f-branin,median,True,0,1,190,branin,1,0.0
ca40fb8d,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:26.235423,50,50,50,,1000,funcs2,[1.25531248e-05],[1.03161587],0.01,gp,20,200,ca40fb8d--g-funcs2-s-1-m-gp-init-20-k-200-f-camelback,median,True,0,1,50,camelback,1,0.0
cada10cd,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:14.098352,50,50,50,,1000,funcs,[0.00042107],[-0.00226374],0.01,gp,30,200,cada10cd--g-funcs-s-1-m-gp-init-30-k-200-f-sintwo,median,True,0,1,200,sintwo,1,0.0
cbd220e6,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:26.562760,50,50,50,,1000,funcs2,[1.853039e-09],[-0.04292634],0.01,dngo,20,200,cbd220e6--g-funcs2-s-1-m-dngo-init-20-k-200-f-sinone,median,True,0,1,110,sinone,1,0.0
d3867b65,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:42.153826,50,50,50,,1000,funcs,[1.19192115e-05],[3.86276761],0.01,gp,30,200,d3867b65--g-funcs-s-1-m-gp-init-30-k-200-f-hartmann3,median,True,0,1,200,hartmann3,1,0.0
d50135db,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:05:11.799124,50,50,50,,1000,l2,[3.05311332e-15],[-0.04292634],0.01,gp,20,200,d50135db--g-l2-s-1-m-gp-init-20-k-200-f-sinone,median,True,0,1,200,sinone,1,0.0
d6565971,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:00:29.245892,50,50,50,,1000,l2,[5.05926189e-06],[-0.0429314],0.01,dngo,20,200,d6565971--g-l2-s-1-m-dngo-init-20-k-200-l2-0.001-f-sinone,median,True,0,1,200,sinone,1,0.001
e191c108,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:04:43.876799,50,50,50,,1000,n_init,[0.00322299],[-0.40111035],0.01,dngo,20,200,e191c108--g-init-s-1-m-dngo-init-20-k-200-e-1000-f-branin,median,True,0,1,200,branin,1,0.0
e4863c8a,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:11.529892,50,50,50,,1000,funcs,[0.00138922],[-0.00138922],0.01,gp,30,200,e4863c8a--g-funcs-s-1-m-gp-init-30-k-200-f-rosenbrock,median,True,0,1,120,rosenbrock,1,0.0
e53991bc,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:12.282397,50,50,50,,1000,funcs,[0.17160566],[-0.17160566],0.01,dngo,30,200,e53991bc--g-funcs-s-1-m-dngo-l2-0.0001-nn-10-agg-average-init-30-k-200-f-rosenbrock,average,True,0,10,200,rosenbrock,1,0.0001
e5750704,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:11.231307,50,50,50,,1000,funcs,[0.03759876],[-3.03759876],0.01,gp,30,200,e5750704--g-funcs-s-1-m-gp-init-30-k-200-f-goldsteinprice,median,True,0,1,200,goldsteinprice,1,0.0
eb6a66b6,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:14.859971,50,50,50,,1000,funcs,[1.48944473e-05],[1.03161353],0.01,dngo,30,200,eb6a66b6--g-funcs-s-1-m-dngo-l2-0.0001-nn-10-agg-average-init-30-k-200-f-camelback,average,True,0,10,200,camelback,1,0.0001
ed3f3611,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:05.687354,50,50,50,,1000,funcs,[2.23971251e-05],[-0.00186507],0.01,dngo,30,200,ed3f3611--g-funcs-s-1-m-dngo-l2-0.0001-init-30-k-200-f-sintwo,median,True,0,1,200,sintwo,1,0.0001
f0ced160,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:55.815281,50,50,50,,1000,funcs2,[24.2474193],[-24.2474193],0.01,dngo,20,200,f0ced160--g-funcs2-s-1-m-dngo-nn-10-agg-average-init-20-k-200-f-rosenbrock,average,True,0,10,30,rosenbrock,1,0.0
